Player Name ,ODI Year : Run,Total Carrier Runs
MA Taylor,"year 1989: Run 48
year 1990: Run 468
year 1991: Run 120
year 1992: Run 294
year 1993: Run 572
year 1994: Run 586
year 1995: Run 523
year 1996: Run 792
year 1997: Run 111
",3514
PL Taylor,"year 1987: Run 43
year 1988: Run 91
year 1989: Run 87
year 1990: Run 142
year 1991: Run 16
year 1992: Run 58
",437
AL Thomson,"year 1971: Run -
",-
JR Thomson,"year 1975: Run 55
year 1977: Run 6
year 1978: Run 1
year 1979: Run 0
year 1980: Run 18
year 1981: Run 14
year 1982: Run 49
year 1983: Run 38
year 1985: Run -
",181
PM Toohey,"year 1978: Run 30
year 1979: Run 54*
",105
CP Tremain,"year 2016: Run 23*
",23
GS Trimble,"year 1986: Run 4
",4
A Turner,"year 1975: Run 101
",247
AJ Turner,"year 2019: Run 84*
",125
AJ Tye,"year 2018: Run 19
",57
MRJ Veletta,"year 1987: Run 141
year 1988: Run 326
year 1989: Run 17
",484
AC Voges,"year 2007: Run 16
year 2009: Run 151
year 2010: Run 145
year 2011: Run 80
year 2013: Run 478
",870
MS Wade,"year 2012: Run 546
year 2013: Run 192
year 2014: Run 171
year 2015: Run 166
year 2016: Run 518
year 2017: Run 184
",1777
MHN Walker,"year 1974: Run -
year 1975: Run 56
year 1977: Run 5
year 1979: Run 9
year 1980: Run 5
year 1981: Run 4
",79
KD Walters,"year 1971: Run 41
year 1972: Run 17
year 1974: Run 19
year 1975: Run 141
year 1977: Run 12
year 1979: Run 46
year 1980: Run 60
year 1981: Run 177
",513
